מחוז,רשות מקומית ,שם האתר,כתובת,שנת תחילת טיפול,שנת       סיום      טיפול ,זיהום   גז קרקע  ,זיהום קרקע,דרגת זיהום לפני שיקום,סוג סקר,מקור הזיהום ,סוג מזהם מתכות ,סוג מזהם דלקים,סוג מזהם ממסים (לרבות מוכלרים),סוג מזהם שמנים,סוג מזהם חומרי נפץ,סוג מזהם חומרי הדברה,מיגון מבנים         
"ת""א",תל-אביב,פין 5,פין 5,2015,2015,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,פלורנטין 11,פלורנטין 11,2011,2011,יש זיהום ,היה זיהום בעבר ששוקם,כבד,סקר קרקע,תעשיה,כן,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,פלורנטין 38,פלורנטין 38,2010,2011,יש זיהום ,לא נבדק ואין זיהום,כבד,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,פרוייקט כיכר העליה העליה 27,העלייה 27,2014,2015,נבדק ואין זיהום,נבדק ואין זיהום,אין זיהום,סקר קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,צ'לנוב 10 - 8 ,צ'לנוב 10 - 8 ,2013,2013,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום ,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,
"ת""א",תל-אביב,צ'לנוב 24,צ'לנוב 24,2011,2011,יש זיהום ,לא נבדק ואין זיהום,בינוני,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",תל-אביב,צ'לנוב 6 הגדוד העברי 20,צ'לנוב 6 הגדוד העברי 21,2013,2014,נבדק ואין זיהום,לא נבדק ואין זיהום,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,נבדק וניתן פטור ממיגון
"ת""א",תל-אביב,צ'לנוב 9,צ'לנוב 9,2010,2012,יש זיהום ,לא נבדק ואין זיהום,בינוני,סקר גז קרקע,אחר,לא,לא,כן,לא,לא,לא,מיגון לאחר בדיקה
"ת""א",קרית אונו,דירת מגורים,נחל גמלא 3,2014,2014,נבדק ואין זיהום,לא נבדק ויש פוטנציאל,אין זיהום,סקר גז קרקע,אחר,לא,לא,לא,לא,לא,לא,אין צורך במיגון
"ת""א",חולון,מוסך איסמעיל ,המנור 9,2009,2010,לא נבדק ויש פוטנציאל ,היה זיהום בעבר ששוקם,כבד,שיקום ,תעשיה,,כן,,,,,טרם נבדק
